,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right,custom_center_x,custom_center_y,left_height,top_width,right_height,bot_width,dist_to_top_left,dist_to_bot_left,dist_to_top_right,dist_to_bot_right,smoothed_y_top_left,smoothed_y_top_right,smoothed_y_bot_left,smoothed_y_bot_right,cos_alpha,angle,smoothed_center_x,smoothed_center_y
0,370.12109,197.34717,539.85991,207.74605,368.746,222.83216,540.36434,223.55822,455.24271,210.4527,25.54043,170.15957,16.36369,171.66752,86.12459,87.3781,84.66047,86.12459,197.44139,207.8679,222.91158,223.17115,0.00728,89.58271,455.19603,209.96321
1,370.12385,197.33318,539.88227,207.73485,368.74371,222.82486,540.37235,223.68755,455.2481,210.51036,25.54144,170.17126,16.47903,171.68969,86.13812,87.37652,84.67967,86.13812,197.34197,207.70279,222.83394,223.67105,0.00711,89.59269,455.26014,210.37005
2,370.13038,197.30786,539.94937,207.70124,368.74098,222.80486,540.39639,223.98531,455.26338,210.64658,25.54399,170.20548,16.78955,171.75444,86.17163,87.37248,84.73718,86.17163,197.26078,207.56418,222.76909,224.21358,0.00669,89.61682,455.31687,210.75427
3,370.14135,197.26461,540.06119,207.64523,368.73617,222.77141,540.43645,224.50412,455.2889,210.88436,25.54749,170.2622,17.23739,171.84972,86.22994,87.3652,84.83415,86.22994,197.19667,207.45044,222.71627,224.78919,0.00598,89.65734,455.3669,211.11621
4,370.15581,197.21272,540.21775,207.56681,368.73158,222.72555,540.49255,225.1505,455.32418,211.18161,25.55199,170.33769,17.80934,171.9652,86.30632,87.35869,84.9705,86.30632,197.1485,207.35991,222.67474,225.38832,0.00504,89.71105,455.41089,211.45617
5,370.17443,197.14551,540.3134,207.41758,368.7259,222.66035,540.6626,225.86267,455.41851,211.50409,25.55733,170.42697,18.48275,172.0863,86.44491,87.40749,84.99319,86.44491,197.11512,207.29098,222.64375,226.00139,0.00359,89.79428,455.4495,211.77446
6,370.19095,197.12252,540.40978,207.16986,368.73224,222.65016,540.87847,226.5999,455.53471,211.86121,25.5602,170.53054,19.19737,172.19017,86.60708,87.47039,85.00462,86.60708,197.09539,207.24199,222.62257,226.61885,0.00188,89.89244,455.48339,212.07141
7,370.15164,197.10546,540.50213,206.97313,368.68657,222.62489,541.03258,227.19948,455.59211,212.15247,25.56103,170.64276,19.91826,172.26591,86.75533,87.53425,85.06784,86.75533,197.08817,207.2113,222.61043,227.23113,0.00051,89.97055,455.51323,212.34732
8,370.14139,197.09398,540.60411,206.91095,368.6723,222.60879,541.13848,227.91763,455.63994,212.5058,25.55874,170.74448,20.61219,172.31888,86.87649,87.5525,85.14818,86.87649,197.09231,207.19729,222.60659,227.82867,1e-05,89.99931,455.53968,212.6025
9,370.15286,197.07722,540.70438,206.85528,368.67936,222.59461,541.19372,228.76471,455.67329,212.92096,25.55237,170.83355,21.2426,172.34797,86.97567,87.53013,85.24716,86.97567,197.10668,207.19831,222.61031,228.40189,-0.00041,90.02359,455.5634,212.83729
10,370.18373,197.07765,540.8279,206.92793,368.71296,222.59854,541.14687,229.32039,455.6653,213.19902,25.54159,170.90172,21.79483,172.34698,86.98849,87.45891,85.39318,86.98849,197.13013,207.21272,222.62084,228.94124,9e-05,89.99463,455.58506,213.05198
